PRRX1
SFRP4
IL6
SULF1
GREM1
ACTN1
HAND2
CYR61
CAV1
CD4
DCN
TGFB1
TGFB1I1
TNFAIP3
ICAM1
ITGB2
IKZF1
PLEK
FLI1
FLNA
ZNF469
RHOH
IL16
NFAM1
VGLL3
SPI1
HCK
OSM
CAVIN1
LZTS1
LILRB4
MNDA
CD28
KANK2
CD86
APOE
CMKLR1
HOPX
MEIS3
ZEB2
PYHIN1
TMIGD3
MSC
TGFB2
CD3D
SLC11A1
LYL1
NCF1
BNC2
TNFSF8
SOX18
FOSL1
MEF2C
TLR4
S1PR1
CDH13
FOXC2
NOTCH3
EOMES
TLR2
ZEB1
DKK3
NLRP3
ACVRL1
HAVCR2
ERG
S100A9
TFEC
POU2AF1
SMO
CXCL10
HMGA2
CD74
ITGA3
SOX17
MYOCD
DAB2
NOTCH4
PDE2A
PSMB9
CCNA2
DLGAP5
DEPDC1
CENPF
PLK1
BIRC5
FOXM1
AURKB
CDC45
APBB1
TOP2A
