MR,List_INV_Cancers,No_INV_Cancers
FSTL1,HNSC DLBC LIHC THCA,4
AEBP1,HNSC DLBC LIHC THCA,4
DCN,HNSC DLBC LIHC THCA,4
COL1A1,HNSC DLBC LIHC THCA,4
TBX2,HNSC DLBC LIHC THCA,4
HTRA3,HNSC DLBC LIHC THCA,4
WNT2,HNSC DLBC LIHC THCA,4
LUM,HNSC DLBC LIHC THCA,4
RAMP3,HNSC DLBC LIHC THCA,4
PTGIS,HNSC DLBC LIHC THCA,4
SPP1,HNSC DLBC LIHC THCA,4
SOX17,HNSC DLBC LIHC THCA,4
LZTS1,HNSC DLBC LIHC THCA,4
MEIS3,HNSC DLBC LIHC THCA,4
FAM129B,HNSC DLBC LIHC THCA,4
FSTL3,HNSC LIHC THCA,3
ZEB2,HNSC LIHC THCA,3
MICAL2,HNSC DLBC THCA,3
SULF1,HNSC DLBC LIHC,3
DAB2,HNSC LIHC THCA,3
LOXL2,HNSC LIHC THCA,3
FBN1,HNSC DLBC LIHC,3
SPI1,HNSC LIHC THCA,3
IL16,HNSC LIHC THCA,3
CHRD,HNSC LIHC THCA,3
ZNF521,HNSC DLBC LIHC,3
SERPINE1,HNSC DLBC THCA,3
ZNF469,HNSC LIHC THCA,3
CD4,HNSC LIHC THCA,3
BNC2,HNSC DLBC LIHC,3
ITGB2,HNSC LIHC THCA,3
MNDA,HNSC LIHC THCA,3
PRRX1,HNSC LIHC THCA,3
MEF2C,HNSC LIHC THCA,3
BTK,HNSC LIHC THCA,3
F2R,HNSC LIHC THCA,3
ZNF366,HNSC LIHC THCA,3
TFEC,HNSC LIHC THCA,3
CD86,HNSC LIHC THCA,3
PLEK,HNSC LIHC THCA,3
HAVCR2,HNSC LIHC THCA,3
CD28,HNSC DLBC THCA,3
CMKLR1,HNSC LIHC THCA,3
NLRP3,HNSC LIHC THCA,3
EBF1,HNSC LIHC THCA,3
ACVRL1,HNSC LIHC THCA,3
TGFB3,HNSC LIHC THCA,3
LDB2,HNSC LIHC THCA,3
TNFSF8,HNSC LIHC THCA,3
LILRB4,HNSC LIHC THCA,3
RUNX1T1,HNSC LIHC THCA,3
BCL6B,HNSC LIHC THCA,3
SFRP4,HNSC LIHC THCA,3
SNAI1,HNSC DLBC LIHC,3
IGF2,HNSC DLBC THCA,3
NOTCH4,HNSC LIHC THCA,3
LMCD1,HNSC DLBC THCA,3
CREB3L1,HNSC DLBC LIHC,3
HGF,HNSC LIHC THCA,3
GLIS3,HNSC LIHC THCA,3
MSC,HNSC LIHC THCA,3
MUC1,HNSC LIHC THCA,3
GTF2IRD2B,HNSC LIHC THCA,3
COMMD1,HNSC LIHC THCA,3
ZNF837,HNSC LIHC THCA,3
SDR16C5,HNSC LIHC THCA,3
MED11,HNSC LIHC THCA,3
SNAPC5,HNSC LIHC THCA,3
METTL23,HNSC LIHC THCA,3
NDUFA13,HNSC LIHC THCA,3
