MR & FC_Median & Pval
PKIA & 0.049 & 6.94022907717491e-08
ZC3H12A & 0.048 & 4.49907078946905e-09
DNMT1 & 0.047 & 8.12454084289263e-19
KIT & 0.047 & 4.83735549219505e-05
PLK3 & 0.047 & 2.38170142427952e-14
DLL4 & 0.046 & 0.00158593083277746
AIM2 & 0.045 & 5.0656954130269e-09
EHF & 0.045 & 5.5201639705422e-15
PDE2A & 0.044 & 0.000272393913065148
HTRA1 & 0.043 & 8.21792334212552e-06
TOP2A & 0.043 & 7.67770565832742e-13
ELF3 & 0.041 & 1.53342618084316e-09
PLSCR1 & 0.04 & 1.08132706107105e-10
SOX17 & 0.038 & 6.2185479643514e-05
KLF5 & 0.037 & 1.37503680296729e-07
CENPF & 0.036 & 2.7715308006914e-07
PRDM16 & 0.035 & 2.78250412474986e-05
S100A9 & 0.034 & 4.97092154205654e-10
WNT4 & 0.033 & 0.00049372026727544
TRIP13 & 0.028 & 4.84643962845512e-08
EDNRB & 0.027 & 0.0194738013277963
ZNF366 & 0.027 & 0.00380359527912363
MAPK13 & 0.023 & 5.68910947025981e-07
FASLG & 0.021 & 0.0148603738165599
PERM1 & 0.018 & 0.00513022253455572
PSMB8 & 0.018 & 0.0221295500424126
FOXM1 & 0.015 & 0.000833562482467071
PARP14 & 0.015 & 0.00231679063328536
ETV7 & 0.012 & 0.00360110307413413
MUC1 & 0.012 & 0.00634642887202246
AURKB & 0.011 & 0.0477401763110944
BCL11B & 0.008 & 0.015141855971653
WDHD1 & 0.008 & 0.0140507596994738
SDR16C5 & 0.005 & 0.00641788330750708
WDR75 & -0.015 & 0.0129977490380189
MAPK10 & -0.016 & 0.00721955466280365
E2F1 & -0.024 & 0.0176102156144094
SOX18 & -0.025 & 2.93264021814755e-05
NELFE & -0.03 & 4.28809852947125e-09
SCAND1 & -0.031 & 1.53012595534873e-09
RORA & -0.035 & 2.0166391116055e-08
PABPC1L & -0.036 & 2.2350101711138e-09
RAMP3 & -0.036 & 3.61762969610697e-06
TAF10 & -0.037 & 2.10754080627982e-09
PIN1 & -0.039 & 5.12496706334034e-14
IRF9 & -0.041 & 2.10754080627982e-09
REXO4 & -0.041 & 1.15603161724401e-11
