Pval,Mean1,Mean2,FC_Mean,Padjust
NOTCH4,4.5e-70,0.027,-0.034,0.061,1.19e-69
TSSK4,3.34e-70,-0.02,0.019,-0.04,8.98e-70
STK36,2.4e-70,-0.024,0.022,-0.046,6.56e-70
CARF,3.06e-71,-0.032,0.03,-0.062,8.54e-71
ZNF469,9.65e-74,0.028,-0.037,0.064,2.74e-73
TGFB1,7.49e-74,0.023,-0.047,0.07,2.16e-73
LILRB4,2.08e-74,0.029,-0.034,0.063,6.11e-74
GREM1,7.22e-75,0.03,-0.04,0.07,2.17e-74
PAXBP1,2.1e-75,-0.031,0.025,-0.057,6.42e-75
FOXC2,1.63e-75,0.034,-0.041,0.075,5.08e-75
RECQL5,6e-77,-0.026,0.024,-0.05,1.91e-76
VGLL3,4.65e-77,0.03,-0.038,0.068,1.51e-76
RHOH,9.84e-78,0.03,-0.037,0.067,3.27e-77
TFEC,1.08e-78,0.025,-0.031,0.056,3.67e-78
ZRANB2,7.4e-79,-0.03,0.027,-0.057,2.56e-78
CAV1,4.72e-80,0.027,-0.034,0.061,1.68e-79
HCK,2.44e-80,0.028,-0.033,0.061,8.86e-80
GTF2IRD2,9.53e-82,-0.024,0.024,-0.048,3.54e-81
LHX4,1.9e-84,-0.027,0.023,-0.05,7.21e-84
MNDA,2.68e-85,0.03,-0.034,0.064,1.04e-84
SFRP4,6.85e-86,0.031,-0.035,0.065,2.74e-85
IKZF1,1.13e-90,0.033,-0.037,0.07,4.62e-90
CD86,1.46e-91,0.032,-0.04,0.071,6.17e-91
MZF1,6.04e-92,-0.036,0.031,-0.067,2.62e-91
ZNF789,2.82e-92,-0.03,0.027,-0.057,1.26e-91
SMO,1.56e-92,0.03,-0.037,0.066,7.16e-92
ACVRL1,4.03e-94,0.03,-0.037,0.067,1.91e-93
FOSL1,4.24e-96,0.032,-0.039,0.07,2.07e-95
SLC11A1,7.85e-97,0.031,-0.04,0.071,3.95e-96
BNC2,2.64e-97,0.032,-0.04,0.072,1.37e-96
ZC3H8,1.51e-97,-0.036,0.033,-0.069,8.13e-97
KAT2A,3.98e-98,-0.035,0.032,-0.067,2.22e-97
ERG,1.81e-98,0.031,-0.034,0.065,1.04e-97
HAVCR2,6.27e-99,0.033,-0.039,0.072,3.76e-98
LZTS1,8.49e-100,0.037,-0.043,0.08,5.3e-99
NLRP3,1.75e-100,0.037,-0.046,0.083,1.13e-99
ZNF692,3.93e-101,-0.03,0.026,-0.056,2.67e-100
CDK5RAP3,3.12e-102,-0.029,0.026,-0.055,2.21e-101
FLNA,3.37e-103,0.029,-0.035,0.064,2.51e-102
APBB3,6.83e-104,-0.031,0.027,-0.059,5.33e-103
SPI1,2.01e-104,0.034,-0.042,0.076,1.65e-103
ACTN1,1.4e-104,0.032,-0.038,0.07,1.21e-103
ITGB2,3.48e-105,0.034,-0.042,0.077,3.19e-104
