MR,Adj_Pval,Adj.Pval
PSMB7,1.33547811225618e-13,1.33547811225618e-13
NELFE,4.28809852947125e-09,4.28809852947125e-09
PSMD6,1.12374664501069e-16,1.12374664501069e-16
CHEK1,6.01263396213003e-17,6.01263396213003e-17
TAF10,2.10754080627982e-09,2.10754080627982e-09
WDR75,0.0129977490380189,0.0129977490380189
PIN1,5.12496706334034e-14,5.12496706334034e-14
PIK3R2,7.52693409465201e-15,7.52693409465201e-15
MED27,4.45910256927274e-13,4.45910256927274e-13
SCAND1,1.53012595534873e-09,1.53012595534873e-09
ADIRF,1.25793172414556e-20,1.25793172414556e-20
TADA1,8.94179792768851e-40,8.94179792768851e-40
ZNF524,1.81607308562083e-35,1.81607308562083e-35
ZNF576,7.18578012091887e-34,7.18578012091887e-34
AGER,1.01455004381036e-30,1.01455004381036e-30
APBB3,3.34417638900405e-39,3.34417638900405e-39
PABPC1L,2.2350101711138e-09,2.2350101711138e-09
REXO4,1.15603161724401e-11,1.15603161724401e-11
ZNF688,4.13466674289782e-36,4.13466674289782e-36
STK16,8.13937703497755e-38,8.13937703497755e-38
ELOB,1.32852586283586e-45,1.32852586283586e-45
ZNF593,3.74561744857346e-56,3.74561744857346e-56
FBXL15,1.33959502377378e-51,1.33959502377378e-51
RUVBL2,4.14856939414212e-44,4.14856939414212e-44
CDK5,7.66818011244873e-50,7.66818011244873e-50
GTF2IRD2,2.17937937863798e-38,2.17937937863798e-38
SIRT5,1.06383848275768e-36,1.06383848275768e-36
TADA2A,6.02127321548829e-47,6.02127321548829e-47
THAP9,1.19031715172315e-67,1.19031715172315e-67
ETV2,2.09695360349061e-83,2.09695360349061e-83
NUFIP1,1.90562358443534e-71,1.90562358443534e-71
HIST1H2AM,9.56441731482877e-43,9.56441731482877e-43
ZNF771,5.40425026496976e-52,5.40425026496976e-52
SPATA24,2.17990454579482e-51,2.17990454579482e-51
ELP6,8.14169430056327e-64,8.14169430056327e-64
THAP3,3.65845563499239e-68,3.65845563499239e-68
SSU72,6.62110312808169e-42,6.62110312808169e-42
PRDX5,7.34684234978836e-41,7.34684234978836e-41
TEFM,2.26526154108438e-66,2.26526154108438e-66
MED31,1.91357695874378e-51,1.91357695874378e-51
TSFM,3.41789682684343e-47,3.41789682684343e-47
FAM200B,1.86938663266373e-66,1.86938663266373e-66
PIR,3.76229160471471e-41,3.76229160471471e-41
NDUFA13,4.79228372888704e-49,4.79228372888704e-49
PPIE,5.73382114740585e-28,5.73382114740585e-28
MED11,1.60101192653308e-41,1.60101192653308e-41
SLIRP,7.31253792827699e-33,7.31253792827699e-33
MED7,2.22822631811847e-23,2.22822631811847e-23
MAPK10,0.00721955466280365,0.00721955466280365
PBX4,1.13993554021712e-10,1.13993554021712e-10
EID2B,1.53053196584622e-41,1.53053196584622e-41
RRP8,5.82578921768756e-33,5.82578921768756e-33
ZNF653,1.61853332255417e-67,1.61853332255417e-67
ZBTB3,3.30371594416694e-77,3.30371594416694e-77
FERD3L,1.39472159701628e-54,1.39472159701628e-54
ALKBH4,2.94088678255155e-66,2.94088678255155e-66
ZNF446,1.30841170405581e-35,1.30841170405581e-35
FLI1,3.44642103863295e-49,3.44642103863295e-49
TSHZ3,9.94508985859393e-45,9.94508985859393e-45
FOXS1,2.86671686824945e-20,2.86671686824945e-20
RELN,9.14557063369162e-21,9.14557063369162e-21
CHRD,1.20383161631115e-29,1.20383161631115e-29
PRKCB,7.21121264664685e-38,7.21121264664685e-38
BCL11B,0.015141855971653,0.015141855971653
SEMA4D,6.90276224454857e-12,6.90276224454857e-12
RHOQ,1.3941410376611e-56,1.3941410376611e-56
F2R,1.25211055838329e-65,1.25211055838329e-65
ETS1,1.23044403872034e-61,1.23044403872034e-61
ZEB2,4.3995399822009e-88,4.3995399822009e-88
NFAM1,1.19031715172315e-67,1.19031715172315e-67
JAG1,3.29812028456367e-65,3.29812028456367e-65
IL33,4.92164294777654e-36,4.92164294777654e-36
IRF9,2.10754080627982e-09,2.10754080627982e-09
FASLG,0.0148603738165599,0.0148603738165599
PARP14,0.00231679063328536,0.00231679063328536
ARID5A,9.04750849178607e-43,9.04750849178607e-43
TNFSF8,1.34983868573758e-44,1.34983868573758e-44
ZNF831,3.67470681732949e-23,3.67470681732949e-23
CD28,9.22118008587199e-43,9.22118008587199e-43
ACVR1,5.73173576556919e-70,5.73173576556919e-70
ACTN1,9.28393377896733e-66,9.28393377896733e-66
DDX58,2.78667529536334e-20,2.78667529536334e-20
MYO6,1.2070507166609e-18,1.2070507166609e-18
EHF,5.5201639705422e-15,5.5201639705422e-15
PARP9,6.61747213317982e-20,6.61747213317982e-20
MNDA,3.89367734556009e-56,3.89367734556009e-56
STAT4,1.36531064374542e-22,1.36531064374542e-22
CD4,8.57452956856544e-69,8.57452956856544e-69
HCK,3.38776932569055e-48,3.38776932569055e-48
MSC,2.55088338029097e-83,2.55088338029097e-83
MICAL2,1.56887378015851e-42,1.56887378015851e-42
CMKLR1,6.5569280160635e-77,6.5569280160635e-77
NLRP3,7.42300957525315e-64,7.42300957525315e-64
TRIM22,7.10772470191392e-24,7.10772470191392e-24
SLA2,7.56704050744605e-32,7.56704050744605e-32
STAT1,8.73660920416224e-30,8.73660920416224e-30
CD40LG,1.76408238928893e-19,1.76408238928893e-19
CD3D,2.60396167932155e-28,2.60396167932155e-28
IRF1,3.5399173753545e-22,3.5399173753545e-22
LGALS9,3.49894256885376e-42,3.49894256885376e-42
CIITA,2.04410887770536e-36,2.04410887770536e-36
PRNP,8.12865094871935e-25,8.12865094871935e-25
HOXB2,3.00098105371041e-28,3.00098105371041e-28
ELF4,1.35014829073309e-39,1.35014829073309e-39
PLK3,2.38170142427952e-14,2.38170142427952e-14
TGFA,3.28871781677306e-26,3.28871781677306e-26
POU2AF1,1.09044206464911e-30,1.09044206464911e-30
BHLHE22,9.11848145149813e-28,9.11848145149813e-28
SULF1,2.76168697405546e-90,2.76168697405546e-90
LOXL2,9.67912480424434e-92,9.67912480424434e-92
CREB3L1,5.20648138121733e-68,5.20648138121733e-68
GLI2,5.70860156363085e-54,5.70860156363085e-54
FBN1,2.34428746728841e-87,2.34428746728841e-87
HGF,3.95547664195749e-51,3.95547664195749e-51
SNAI1,2.126232884746e-57,2.126232884746e-57
HCLS1,9.56659677649587e-46,9.56659677649587e-46
RHOH,3.54396917673698e-60,3.54396917673698e-60
MACC1,6.61747213317982e-20,6.61747213317982e-20
TWIST1,8.06552235498123e-66,8.06552235498123e-66
LMCD1,2.4199684751928e-54,2.4199684751928e-54
BTK,1.40910943571956e-52,1.40910943571956e-52
MDFI,7.62238579827292e-31,7.62238579827292e-31
FSTL3,3.59787916173609e-35,3.59787916173609e-35
WNT2,2.1447884318879e-93,2.1447884318879e-93
NBL1,1.9964634876938e-58,1.9964634876938e-58
MEIS3,9.22561165350914e-88,9.22561165350914e-88
LUM,7.65314251039861e-97,7.65314251039861e-97
SFRP4,2.56961458435575e-93,2.56961458435575e-93
DCN,3.94973537206337e-97,3.94973537206337e-97
PTGIS,9.22561165350914e-88,9.22561165350914e-88
COL1A1,2.02308082927239e-105,2.02308082927239e-105
AEBP1,6.74095988308394e-110,6.74095988308394e-110
VAV1,9.07921680222167e-25,9.07921680222167e-25
ECM1,1.33691161764815e-32,1.33691161764815e-32
FAM129B,2.67311508250569e-11,2.67311508250569e-11
ZC3H12A,4.49907078946905e-09,4.49907078946905e-09
NOTCH3,2.96887886459043e-21,2.96887886459043e-21
