Statistic Pval Mean1 Mean2 FC_Mean Padjust
HTRA3 100 0.00018 0.066 -0.104 0.169 0.00021920614933146
SFRP4 100 0.00018 0.068 -0.097 0.165 0.00021920614933146
SERPINE1 100 0.00018 0.073 -0.09 0.162 0.00021920614933146
COL1A1 100 0.00018 0.065 -0.084 0.149 0.00021920614933146
LUM 100 0.00018 0.068 -0.078 0.146 0.00021920614933146
LOXL2 100 0.00018 0.061 -0.085 0.145 0.00021920614933146
ITGB2 100 0.00018 0.058 -0.077 0.135 0.00021920614933146
TFEC 100 0.00018 0.054 -0.079 0.133 0.00021920614933146
CD86 100 0.00018 0.054 -0.079 0.133 0.00021920614933146
SFRP2 94 0.00101 0.05 -0.082 0.132 0.00106726896039891
DCN 100 0.00018 0.059 -0.071 0.131 0.00021920614933146
CD4 100 0.00018 0.055 -0.072 0.127 0.00021920614933146
TMIGD3 100 0.00018 0.061 -0.065 0.127 0.00021920614933146
SPI1 99 0.00025 0.055 -0.071 0.126 0.000276894143893384
LILRB4 100 0.00018 0.052 -0.072 0.124 0.00021920614933146
PLEK 100 0.00018 0.054 -0.069 0.123 0.00021920614933146
HAVCR2 100 0.00018 0.05 -0.072 0.122 0.00021920614933146
ZEB2 87 0.0058 0.033 -0.063 0.096 0.00579535854433471
