"Pval" "Mean1" "Mean2" "FC_Mean" "Padjust"
"ACTN1" 0.000193 0.02 -0.024 0.044 0.00068
"ACVRL1" 1.17e-06 0.025 -0.028 0.052 8.32e-06
"AGER" 0.000159 -0.015 0.01 -0.024 0.000577
"ALKBH4" 1.06e-06 -0.03 0.021 -0.05 7.91e-06
"ANKRD49" 7.89e-08 -0.043 0.03 -0.073 8.79e-07
"APBB1" 0.606 -0.01 -0.002 -0.007 0.844
"APBB3" 0.214 -0.011 0.003 -0.014 0.363
"APOE" 0.807 -0.002 -0.006 0.004 1
"ATP8B1" 0.401 -0.007 0 -0.007 0.606
"AURKB" 0.0545 -0.017 0.008 -0.026 0.115
"BIRC5" 0.000396 -0.024 0.014 -0.039 0.00129
"BNC2" 7.16e-09 0.031 -0.037 0.068 1.11e-07
"BOLA1" 0.000528 -0.032 0.015 -0.047 0.00165
"CARF" 0.0596 0.013 -0.016 0.029 0.124
"CAV1" 7.49e-06 0.022 -0.026 0.048 3.65e-05
"CAVIN1" 1.64e-05 0.021 -0.025 0.046 6.75e-05
"CCNA2" 0.15 -0.016 0.005 -0.02 0.272
"CCNL2" 0.151 0.003 -0.008 0.01 0.272
"CD28" 0.122 -0.015 0.003 -0.018 0.226
"CD3D" 0.491 0.001 -0.008 0.009 0.71
"CD4" 7.83e-09 0.029 -0.034 0.062 1.11e-07
"CD74" 6e-11 0.036 -0.042 0.078 1.87e-09
"CD86" 0.207 0 -0.017 0.016 0.355
"CDC45" 9.29e-08 -0.042 0.022 -0.064 9.66e-07
"CDH13" 1 0 0 0 1
"CDK11A" 4.34e-06 -0.036 0.024 -0.061 2.36e-05
"CDK5RAP3" 2.14e-06 -0.029 0.021 -0.05 1.35e-05
"CENPF" 0.0101 -0.023 0.009 -0.032 0.0243
"CENPT" 0.348 -0.011 0.001 -0.012 0.542
"CMKLR1" 4.38e-06 0.025 -0.032 0.057 2.36e-05
"CXCL10" 0.0055 -0.02 0.01 -0.03 0.0147
"CYR61" 1 0 0 0 1
"DAB2" 0.724 0 -0.008 0.009 0.999
"DCN" 3.33e-08 0.026 -0.032 0.058 3.99e-07
"DDX17" 0.277 -0.006 0.001 -0.007 0.449
"DDX39B" 0.206 -0.007 0.002 -0.01 0.355
"DEPDC1" 0.00201 -0.025 0.012 -0.037 0.00602
"DKK3" 9.62e-06 0.016 -0.022 0.038 4.55e-05
"DLGAP5" 0.00864 -0.021 0.009 -0.03 0.0214
"DMTF1" 0.0769 -0.01 0.005 -0.015 0.156
"EFCAB6" 0.853 -0.001 -0.004 0.003 1
"ELP6" 1 0 0 0 1
"EOMES" 1 0 0 0 1
"ERG" 3.4e-10 0.031 -0.035 0.066 6.62e-09
"FANK1" 1 0 0 0 1
"FBXL15" 0.0197 0.009 -0.016 0.024 0.0458
"FLI1" 1.75e-06 0.027 -0.032 0.058 1.19e-05
"FLNA" 0.0285 0.007 -0.013 0.02 0.0633
"FOSL1" 0.0828 0.009 -0.016 0.025 0.166
"FOXC2" 0.177 0.004 -0.013 0.017 0.309
"FOXM1" 0.000196 -0.025 0.014 -0.038 0.00068
"GATAD1" 0.0169 0.018 -0.021 0.038 0.0399
"GLI4" 1 0 0 0 1
"GREM1" 1.25e-05 0.027 -0.037 0.065 5.59e-05
"GTF2IRD2" 1 0 0 0 1
"GTF2IRD2B" 0.000504 -0.023 0.014 -0.038 0.0016
"HAND2" 0.283 0.005 -0.012 0.016 0.455
"HAVCR2" 1 0 0 0 1
"HCK" 1 0 0 0 1
"HDAC10" 1 0 0 0 1
"HMGA2" 0.00647 0.017 -0.026 0.043 0.0166
"HOPX" 1 0 0 0 1
"HSF4" 0.583 -0.007 -0.002 -0.006 0.819
"ICAM1" 3.09e-06 0.026 -0.03 0.056 1.85e-05
"IKZF1" 0.000236 0.022 -0.025 0.047 0.000801
"IL16" 2.44e-11 0.039 -0.043 0.083 9.5e-10
"IL6" 0.0512 0.012 -0.019 0.031 0.109
"ITGA3" 1 0 0 0 1
"ITGB2" 0.00241 0.012 -0.018 0.031 0.00695
"KANK2" 0.00237 0.017 -0.02 0.036 0.00695
"KAT2A" 8.77e-13 -0.051 0.033 -0.084 1.37e-10
"L3MBTL1" 0.36 -0.007 -0.001 -0.007 0.553
"LHX4" 1 0 0 0 1
"LILRB4" 0.461 -0.001 -0.009 0.008 0.679
"LPIN3" 1 0 0 0 1
"LYL1" 3.23e-06 0.028 -0.032 0.061 1.86e-05
"LZTS1" 0.134 0.005 -0.018 0.023 0.246
"MECOM" 1 0 0 0 1
"MED11" 1 0 0 0 1
"MED31" 0.00265 -0.017 0.011 -0.028 0.00752
"MEF2C" 1.53e-05 0.022 -0.029 0.052 6.6e-05
"MEIS3" 1 0 0 0 1
"MNDA" 0.926 -0.003 -0.005 0.002 1
"MRPL12" 3.32e-07 -0.035 0.024 -0.059 3.05e-06
"MSC" 0.000883 0.018 -0.022 0.04 0.0027
"MSRB2" 1 0 0 0 1
"MXD3" 0.483 -0.01 0 -0.009 0.704
"MYOCD" 1 0 0 0 1
"MZF1" 0.228 -0.007 0.001 -0.008 0.383
"NCF1" 0.0673 -0.016 0.004 -0.021 0.138
"NFAM1" 1 0 0 0 1
"NLRP3" 1.11e-11 0.046 -0.054 0.1 8.66e-10
"NOTCH3" 0.171 0.008 -0.015 0.023 0.304
"NOTCH4" 8.5e-07 0.029 -0.032 0.061 6.98e-06
"OSM" 1 0 0 0 1
"PABPC1L" 1 0 0 0 1
"PAXBP1" 7.45e-11 -0.051 0.035 -0.086 1.94e-09
"PDE2A" 6.52e-10 0.033 -0.04 0.073 1.13e-08
"PIDD1" 0.762 -0.012 -0.004 -0.008 1
"PLEK" 0.000372 0.014 -0.022 0.036 0.00123
"PLK1" 1.01e-06 -0.028 0.018 -0.047 7.87e-06
"PNN" 5.53e-06 -0.035 0.02 -0.056 2.78e-05
"POU2AF1" 0.868 -0.009 -0.008 -0.002 1
"PRRX1" 5.23e-05 0.019 -0.024 0.043 0.000199
